Order_ID,Date,Region,Category,Product_Name,Units_Sold,Unit_Price_INR,Revenue_INR,Profit_INR
ORD-031,2025-01-01,East,Food & Beverages,Protein Bars (10pk),4,300,1200,480
ORD-192,2025-01-01,West,Food & Beverages,Protein Bars (10pk),7,300,2100,840
ORD-173,2025-01-02,West,Food & Beverages,Organic Honey 500g,20,450,9000,3420
ORD-121,2025-01-04,East,Clothing,Winter Jacket,7,4500,31500,11025
ORD-069,2025-01-05,East,Electronics,"Monitor 24""",5,18000,90000,18000
ORD-150,2025-01-06,South,Electronics,Wireless Mouse,24,1200,28800,8640
ORD-163,2025-01-07,East,Food & Beverages,Green Tea 100pk,15,250,3750,1575
ORD-104,2025-01-13,North,Furniture,Bean Bag,10,3200,32000,11200
ORD-137,2025-01-14,East,Books & Stationery,Whiteboard Markers,30,180,5400,2700
ORD-018,2025-01-17,East,Food & Beverages,Energy Drink (24pk),3,150,450,180
ORD-190,2025-01-19,West,Electronics,Earbuds Pro,5,3500,17500,5250
ORD-084,2025-01-20,West,Furniture,Ergonomic Chair,8,12000,96000,28800
ORD-079,2025-01-21,East,Furniture,Ergonomic Chair,2,12000,24000,7200
ORD-182,2025-01-21,West,Clothing,Casual T-Shirt,1,700,700,294
ORD-074,2025-01-23,North,Clothing,Running Shoes,5,2800,14000,5040
ORD-073,2025-01-27,North,Food & Beverages,Coffee Beans 250g,9,550,4950,1782
ORD-179,2025-01-31,South,Clothing,Casual T-Shirt,15,700,10500,4410
ORD-056,2025-02-01,East,Electronics,Laptop Pro,10,45000,450000,90000
ORD-119,2025-02-01,South,Food & Beverages,Green Tea 100pk,29,250,7250,3045
ORD-038,2025-02-02,East,Electronics,USB Hub,18,900,16200,5670
ORD-012,2025-02-05,North,Furniture,Filing Cabinet,2,6500,13000,3250
ORD-087,2025-02-05,East,Clothing,Winter Jacket,9,4500,40500,14175
ORD-141,2025-02-05,East,Electronics,Webcam HD,8,2200,17600,5280
ORD-064,2025-02-07,North,Food & Beverages,Dry Fruits Mix 500g,19,600,11400,3990
ORD-105,2025-02-07,West,Food & Beverages,Organic Honey 500g,19,450,8550,3249
ORD-130,2025-02-11,West,Electronics,"Tablet 10""",1,25000,25000,5000
ORD-146,2025-02-14,East,Food & Beverages,Protein Shake 1kg,25,500,12500,4750
ORD-183,2025-02-16,South,Books & Stationery,Planner 2026,1,400,400,192
ORD-050,2025-02-17,South,Furniture,Sofa 3-Seater,8,35000,280000,61600
ORD-153,2025-02-17,East,Furniture,Sofa 3-Seater,4,35000,140000,30800
ORD-044,2025-02-19,West,Clothing,Winter Jacket,7,4500,31500,11025
ORD-065,2025-02-21,North,Books & Stationery,Python Programming,17,750,12750,5738
ORD-008,2025-02-22,North,Food & Beverages,Protein Bars (10pk),12,300,3600,1440
ORD-142,2025-02-24,West,Clothing,Sneakers,3,3200,9600,3168
ORD-136,2025-02-28,South,Clothing,Denim Jacket,10,2500,25000,9500
ORD-165,2025-02-28,North,Food & Beverages,Green Tea 100pk,3,250,750,315
ORD-070,2025-03-01,North,Books & Stationery,Python Programming,9,750,6750,3038
ORD-199,2025-03-02,South,Food & Beverages,Organic Honey 500g,10,450,4500,1710
ORD-140,2025-03-03,North,Clothing,Winter Jacket,6,4500,27000,9450
ORD-109,2025-03-04,West,Furniture,Bean Bag,9,3200,28800,10080
ORD-196,2025-03-04,North,Books & Stationery,Python Programming,23,750,17250,7762
ORD-010,2025-03-05,West,Electronics,"Tablet 10""",5,25000,125000,25000
ORD-095,2025-03-05,East,Books & Stationery,Notebook Set (5pk),22,350,7700,3850
ORD-180,2025-03-05,West,Clothing,Winter Jacket,5,4500,22500,7875
ORD-078,2025-03-07,North,Clothing,Ethnic Kurta,29,1800,52200,19836
ORD-195,2025-03-09,East,Food & Beverages,Organic Honey 500g,16,450,7200,2736
ORD-107,2025-03-17,North,Electronics,Webcam HD,4,2200,8800,2640
ORD-024,2025-03-20,South,Food & Beverages,Dry Fruits Mix 500g,3,600,1800,630
